tabla,salesordernumber,salesorderlinenumber,columna_diferente,valor_postgres,valor_sqlserver
fact_reseller_sales,SO43875,10,discountamount,473.27858399999997,473.2786
fact_reseller_sales,SO43875,12,discountamount,508.948466,508.9485
fact_reseller_sales,SO43879,26,discountamount,1.3035360000000003,1.3035
fact_reseller_sales,SO43881,8,discountamount,5.48625,5.4863
fact_reseller_sales,SO43884,17,discountamount,552.1583479999999,552.1584
fact_reseller_sales,SO43898,1,discountamount,105.42401999999998,105.424
fact_reseller_sales,SO43898,13,discountamount,6.133380000000001,6.1334
fact_reseller_sales,SO43906,3,discountamount,12.350000000000001,12.35
fact_reseller_sales,SO44100,9,discountamount,430.64870199999996,430.6487
fact_reseller_sales,SO44283,7,discountamount,97.31447999999999,97.3145
fact_reseller_sales,SO44284,4,discountamount,6.008749999999999,6.0088
fact_reseller_sales,SO44518,3,discountamount,430.64870199999996,430.6487
fact_reseller_sales,SO44518,8,discountamount,469.798584,469.7986
fact_reseller_sales,SO44525,18,discountamount,21.149600000000003,21.1496
fact_reseller_sales,SO44530,4,discountamount,1.2032640000000001,1.2033
fact_reseller_sales,SO44534,10,discountamount,469.798584,469.7986
fact_reseller_sales,SO44547,28,discountamount,219.864892,219.8649
fact_reseller_sales,SO44742,10,discountamount,1.2032640000000001,1.2033
fact_reseller_sales,SO44762,20,discountamount,4.292992,4.293
fact_reseller_sales,SO44795,4,discountamount,3.9187499999999997,3.9188
fact_reseller_sales,SO44795,18,discountamount,473.27858399999997,473.2786
fact_reseller_sales,SO44797,18,discountamount,6.6909600000000005,6.691
fact_reseller_sales,SO45047,8,discountamount,113.53356,113.5336
fact_reseller_sales,SO45321,11,discountamount,4.963749999999999,4.9638
fact_reseller_sales,SO45323,6,discountamount,1.1029920000000002,1.103
fact_reseller_sales,SO45786,24,discountamount,105.42401999999998,105.424
fact_reseller_sales,SO46057,1,discountamount,89.20494,89.2049
fact_reseller_sales,SO46062,22,discountamount,1.4038080000000002,1.4038
fact_reseller_sales,SO46067,3,discountamount,23.793300000000002,23.7933
fact_reseller_sales,SO46086,3,discountamount,7.248540000000001,7.2485
fact_reseller_sales,SO46086,10,discountamount,3.80344,3.8034
fact_reseller_sales,SO46086,11,discountamount,5.073536,5.0735
fact_reseller_sales,SO46090,13,discountamount,469.798584,469.7986
fact_reseller_sales,SO46323,1,discountamount,297.49912499999994,297.4991
fact_reseller_sales,SO46323,2,discountamount,297.49912499999994,297.4991
fact_reseller_sales,SO46323,4,discountamount,297.49912499999994,297.4991
fact_reseller_sales,SO46323,6,discountamount,297.49912499999994,297.4991
fact_reseller_sales,SO46327,1,discountamount,590.6232499999999,590.6233
fact_reseller_sales,SO46327,6,discountamount,892.4973749999998,892.4974
fact_reseller_sales,SO46327,7,discountamount,590.6232499999999,590.6233
fact_reseller_sales,SO46327,10,discountamount,1476.5581249999996,1476.5581
fact_reseller_sales,SO46327,11,discountamount,594.9982499999999,594.9983
fact_reseller_sales,SO46330,1,discountamount,594.9982499999999,594.9983
fact_reseller_sales,SO46330,5,discountamount,594.9982499999999,594.9983
fact_reseller_sales,SO46330,6,discountamount,1487.4956249999996,1487.4956
fact_reseller_sales,SO46330,7,discountamount,590.6232499999999,590.6233
fact_reseller_sales,SO46330,17,discountamount,885.9348749999998,885.9349
fact_reseller_sales,SO46332,1,discountamount,295.31162499999994,295.3116
fact_reseller_sales,SO46332,2,discountamount,295.31162499999994,295.3116
fact_reseller_sales,SO46332,4,discountamount,297.49912499999994,297.4991
fact_reseller_sales,SO46332,6,discountamount,892.4973749999998,892.4974
fact_reseller_sales,SO46332,7,discountamount,594.9982499999999,594.9983
fact_reseller_sales,SO46332,8,discountamount,295.31162499999994,295.3116
